model,accuracy,precision_macro,recall_macro,f1_macro,best_params
NaiveBayes,0.75,0.7450396825396824,0.75,0.7290191290191291,"{'clf__alpha': 1.0, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (2, 4)}"
LogisticRegression,0.8055555555555556,0.8079365079365081,0.8055555555555557,0.7978299478299479,"{'clf__C': 10, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (2, 4)}"
MLP_NeuralNetwork,0.5555555555555556,0.6957264957264956,0.5555555555555556,0.551993620414673,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (128,), 'tfidf__max_features': 3000, 'tfidf__ngram_range': (2, 4)}"
